,Accommodates,Accuracy,Air Conditioning,Bathrooms,Bed type,Bedrooms,Beds,Breakfast,Buzzer/Wireless Intercom,Cable TV,Cancellation,Carbon Monoxide Detector,Check In,Check Out,Checkin,Cleaning_Fee,Cleanliness,Communication,Doorman,Dryer,Elevator in Building,Essentials,Extra_People,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Heating,Hot Tub,Indoor Fireplace,Internet,Kitchen,Lat,ListingID,Location,Long,Monthly_Price,Pets Allowed,Pool,Price,Property type,Safety Card,Security_Deposit,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Title,URL,UserID,Value,Washer,Weekly_Price,Wheelchair Accessible,Wireless Internet
242,2,4.5,1,1,Real Bed,1,1,1,0,1,Flexible,0,Not Found,Not Found,4.5,$30,4.5,4.5,1,1,1,1,Not Found,1,1,1,0,1,1,0,0,1,1,40.718559025828085,6201222,4.5,-74.01121305303508,$2800,0,1,120,Apartment,1,Not Found,0,1,1,1,1,Stunning Tribeca room with a view.,https://www.airbnb.com/rooms/6201222,5576539,4.5,1,$800,1,1
243,2,5.0,1,1,Real Bed,1,1,1,1,0,Moderate,0,2:00 PM,12:00 PM (noon),5.0,$30,5.0,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.799324653824854,1906022,5.0,-73.9592253037831,Not Found,0,1,155,Apartment,1,$200,1,0,0,1,0,Beautiful Studio facing Central Park,https://www.airbnb.com/rooms/1906022,8063139,5.0,1,Not Found,1,1
244,2,4.5,1,1,Real Bed,1,1,1,0,0,Flexible,0,2:00 PM,11:00 AM,5.0,$10,4.5,5.0,0,1,0,1,No Charge,0,1,1,0,1,1,0,0,1,1,40.79346656910349,3967945,4.5,-73.9502873676708,Not Found,0,1,90,Apartment,1,Not Found,1,1,0,1,1,Great Apt steps from Central Park,https://www.airbnb.com/rooms/3967945,18481481,4.5,1,Not Found,1,1
245,4,Not Found,1,1,Not Found,1,2,1,1,1,Flexible,0,Not Found,Not Found,Not Found,$90,Not Found,Not Found,0,1,0,1,$10 / night after 2 guests,1,1,1,0,1,1,0,0,1,1,40.76345869568903,6950065,Not Found,-73.99045452567789,Not Found,0,1,199,Apartment,1,Not Found,1,1,0,1,1,NEW APARTMENT NEAR TIMES SQUARE!,https://www.airbnb.com/rooms/6950065,21918759,Not Found,1,Not Found,1,1
246,2,Not Found,1,1,Real Bed,1,1,1,1,0,Moderate,1,Not Found,12:00 PM (noon),Not Found,$60,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.72882333315003,4782515,Not Found,-73.99967640112583,Not Found,0,1,148,Apartment,1,$150,0,1,0,1,0,Charming 1 bed in Greenwich Village,https://www.airbnb.com/rooms/4782515,1915794,Not Found,1,Not Found,1,1
247,2,4.5,1,1,Real Bed,1,1,1,1,1,Strict,1,2:00 PM,12:00 PM (noon),4.5,Not Found,4.5,4.5,0,1,1,1,No Charge,1,0,1,0,1,1,0,0,1,1,40.80589756027066,5789606,4.0,-73.95872463808689,Not Found,0,1,70,Apartment,1,Not Found,1,1,0,1,1,Cozy BedRoom,https://www.airbnb.com/rooms/5789606,30037999,4.5,1,$450,1,1
248,2,4.5,0,1,Real Bed,1,1,1,1,0,Flexible,0,Not Found,Not Found,5.0,$50,4.0,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.72192340115509,5781142,4.5,-73.98835631400918,Not Found,0,1,140,Apartment,1,Not Found,0,0,0,1,0,"Pretty, Light Downtown Apartment",https://www.airbnb.com/rooms/5781142,6845704,4.5,1,Not Found,1,1
249,2,4.5,1,1,Real Bed,0,1,1,1,0,Moderate,1,Not Found,Not Found,5.0,$50,5.0,5.0,0,1,0,1,No Charge,0,1,0,0,1,1,0,0,1,1,40.78360685543197,6456733,5.0,-73.97745646230598,Not Found,0,1,145,Apartment,1,Not Found,1,1,0,1,1,Large sunny UWS studio w Queen bed,https://www.airbnb.com/rooms/6456733,4893786,5.0,1,$1050,1,1
250,2,Not Found,1,1,Real Bed,0,1,1,1,0,Strict,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,0,1,40.74223607885756,7067339,Not Found,-73.99785194167066,Not Found,0,1,125,Apartment,1,Not Found,1,1,0,1,0,Heart of Chelsea,https://www.airbnb.com/rooms/7067339,4138235,Not Found,1,Not Found,1,1
251,1,Not Found,0,1,Couch,1,1,0,0,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,0,0,0,Not Found,0,0,0,0,0,0,0,0,0,0,40.784896887203786,7132155,Not Found,-73.97792584973614,Not Found,0,0,60,Apartment,0,Not Found,0,0,0,0,0,Couch in Apartment in UWS,https://www.airbnb.com/rooms/7132155,6988990,Not Found,0,Not Found,0,0
