shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BX010026,40.8452114583,-73.91072743,160001
BX010026,40.8453823262,-73.9105634716,160002
BX010026,40.8460348662,-73.909666232,160003
BX010026,40.8464159535,-73.9091235568,160004
BX010026,40.8467803165,-73.9086072834,160005
BX010026,40.8467803165,-73.9086072834,170001
BX010026,40.8468271984,-73.9085410754,170002
BX010026,40.847016376,-73.9082805772,170003
BX010026,40.8471726627,-73.9080779539,170004
BX010026,40.8474742678,-73.9076871773,170005
BX010026,40.8477759064,-73.9073397707,170006
BX010026,40.8481680519,-73.9069091013,170007
BX010026,40.8484998915,-73.9065761031,170008
BX010026,40.8492157642,-73.9059678554,170009
BX010026,40.8494132556,-73.9058121506,170010
BX010026,40.8494132556,-73.9058121506,170011
BX010026,40.8494132556,-73.9058121506,180001
BX010026,40.8498822884,-73.9054319563,180002
BX010026,40.8504912071,-73.9049395041,180003
BX010026,40.8509607896,-73.9045639957,180004
BX010026,40.8509607896,-73.9045639957,190001
BX010026,40.8510617278,-73.9044832444,190002
BX010026,40.85140459,-73.9042116529,190003
BX010026,40.8516240185,-73.9040342181,190004
BX010026,40.8521196519,-73.9036337178,190005
BX010026,40.8521196519,-73.9036337178,200001
BX010026,40.8522109886,-73.9035598456,200002
BX010026,40.8523865282,-73.9034150027,200003
BX010026,40.8526882417,-73.9031723779,200004
BX010026,40.8534589776,-73.9025495159,200005
BX010026,40.8537505388,-73.9023126818,200006
BX010026,40.8537505388,-73.9023126818,210001
BX010026,40.8545506147,-73.9016622838,210002
BX010026,40.8549702598,-73.9013182526,210003
BX010026,40.8554228556,-73.9009922424,210004
BX010026,40.8559851822,-73.9006009955,210005
BX010026,40.8562767892,-73.9004219826,210006
BX010026,40.8562767892,-73.9004219826,220001
BX010026,40.8565283446,-73.9002676098,220002
BX010026,40.8568026732,-73.9001045257,220003
BX010026,40.8573595607,-73.8997747261,220004
BX010026,40.8586132329,-73.8990245219,220005
BX010026,40.8588999079,-73.8988581552,220006
BX010026,40.8588999079,-73.8988581552,230001
BX010026,40.859244192,-73.8986584406,230002
